sitename,TA_F,TA_F_DAY,TA_F_NIGHT,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,GPP_NT_VUT_REF,wscal,fpar
AU-ASM,15.488,17.99,13.187,228.146,286.012,12.928,95.012,0,2.843,0.2669698,0.196829691529274,0.2793234850287523
AU-ASM,15.244000000000002,17.882,12.817,229.523,278.661,13.147,94.841,0,2.748,0.3033022,0.19247989356517792,0.27900875944236714
AU-ASM,15.919,19.086,13.005,225.727,288.186,13.115,94.595,0,2.128,0.3386086,0.1883290857076645,0.27869043204159993
AU-ASM,16.849,20.604,13.395,221.211,300.37,13.797,94.522,0,1.419,0.29967200000000005,0.18436533212661743,0.2784504289554309
AU-ASM,17.976,21.298,14.92,221.26,299.763,15.633,94.716,0,2.636,0.299672,0.1805814653635025,0.2783435592398069
AU-ASM,16.842,19.06900000000001,14.793,219.58,294.663,12.966,94.97,0,3.241,0.2819698,0.17697598040103912,0.27832535078330833
AU-ASM,16.633,19.289,14.189,216.288,299.643,12.513,94.804,0,2.257,0.25783064,0.17353513836860654,0.27835133147454205
AU-ASM,17.895,20.644,15.365,192.991,326.3540000000001,14.11,94.572,0,1.754,0.6031804000000001,0.17025096714496613,0.2783770292021152
AU-ASM,16.387999999999998,17.023,15.804,39.348,376.32,6.921,94.481,7.1,1.481,0.17674943999999998,0.2001870721578598,0.2783579718546347
AU-ASM,15.918,16.183,15.674,27.32,388.133,2.182,94.511,13.779000000000002,1.009,-0.18757647400000005,0.2601131498813629,0.2782496873206937
AU-ASM,16.395,17.993,14.925999999999998,165.30200000000005,346.293,5.931,94.695,0.28,1.927,0.8897051999999999,0.25500926375389105,0.2780077034889141
AU-ASM,14.538,16.72,12.692,210.384,298.335,7.489,94.809,0,2.235,0.29972204,0.24882107973098755,0.2778129999534097
AU-ASM,15.144,17.543,13.113,198.826,316.629,8.49,94.708,0,1.818,0.4464442,0.2428493648767472,0.2778423001659595
AU-ASM,14.12,14.865,13.488,53.553,367.713,4.984,94.652,11.961,1.477,0.4352258,0.29287609457969666,0.2780447478016612
